职位名称：服务端测试工程师, 薪资：20-40K, 公司：京东数字科技, 人数：1000-9999人
职位名称：蚂蚁财富-高级/专家开发测试工程师-北京, 薪资：15-30K, 公司：支付宝, 人数：10000人以上
职位名称：高级测试工程师, 薪资：8-12K, 公司：彩云之端, 人数：20-99人
职位名称：网络设备安全测试工程师, 薪资：15-20K, 公司：北京清华亚迅电子..., 人数：0-20人
职位名称：测试工程师, 薪资：10-20K, 公司：米可世界, 人数：100-499人
职位名称：高级测试工程师, 薪资：20-40K, 公司：Boss直聘, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-15K, 公司：完美世界, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-11K, 公司：友聚四海, 人数：100-499人
职位名称：高级测试工程师, 薪资：15-30K·16薪, 公司：AKULAKU, 人数：1000-9999人
职位名称：高级测试工程师, 薪资：15-30K·15薪, 公司：松鼠拼拼, 人数：1000-9999人
职位名称：测试工程师, 薪资：9-14K, 公司：小米, 人数：10000人以上
职位名称：测试工程师, 薪资：15-25K, 公司：好大夫在线, 人数：500-999人
职位名称：软件测试工程师, 薪资：12-22K, 公司：博彦科技, 人数：1000-9999人
职位名称：嵌入式软件测试工程师, 薪资：9-18K, 公司：信力时代, 人数：10000人以上
职位名称：测试工程师, 薪资：12-20K, 公司：好未来, 人数：500-999人
职位名称：测试工程师（2019年毕业）, 薪资：10-15K, 公司：好大夫在线, 人数：1000-9999人
职位名称：寿险测试工程师, 薪资：6-10K, 公司：珉宇恒通, 人数：20-99人
职位名称：测试工程师, 薪资：10-20K, 公司：好大夫在线, 人数：500-999人
职位名称：测试工程师, 薪资：7-12K, 公司：新致软件, 人数：1000-9999人
职位名称：实习-测试工程师, 薪资：2-4K, 公司：绿盟科技, 人数：1000-9999人
职位名称：软件测试工程师, 薪资：6-11K, 公司：安硕信息技术, 人数：1000-9999人
职位名称：高级测试工程师, 薪资：25-30K, 公司：美菜网, 人数：10000人以上
职位名称：测试工程师, 薪资：11-18K, 公司：科蓝软件, 人数：1000-9999人
